offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Tulane,American Athletic,Duke,ACC,400756894,4007568945,false,1,25,75,5,41,1,47,53,3,53,1,48,5,22,PUNT
Duke,ACC,Tulane,American Athletic,400756894,4007568946,false,1,84,84,3,53,1,49,49,1,10,2,43,7,35,PUNT
Tulane,American Athletic,Duke,ACC,400756894,4007568947,false,1,4,96,1,10,2,9,91,14,39,1,31,3,5,PUNT
Duke,ACC,Tulane,American Athletic,400756894,4007568948,true,2,39,39,14,39,2,0,0,11,21,3,18,9,39,TD
Tulane,American Athletic,Duke,ACC,400756894,4007568949,false,2,18,82,11,21,2,73,27,7,38,3,43,10,55,DOWNS
Georgia Tech,ACC,Alcorn State,,400756895,4007568951,true,1,35,65,15,0,1,100,0,12,50,2,10,5,63,TD
Alcorn State,,Georgia Tech,ACC,400756895,4007568952,false,1,75,75,12,50,1,82,82,11,51,,59,3,-7,INT
Georgia Tech,ACC,Alcorn State,,400756895,4007568953,true,1,71,29,11,51,1,100,0,8,47,3,4,6,29,TD
Alcorn State,,Georgia Tech,ACC,400756895,4007568954,false,1,35,35,8,47,1,75,75,7,6,1,41,3,7,PUNT
Georgia Tech,ACC,Alcorn State,,400756895,4007568955,true,1,41,59,7,6,1,100,0,5,24,1,42,5,59,TD
