ID,Name,Event,Round,Place,Time,Flag,Pts,Event Name,Date,Course,Gender,Season
22,Isabelle Bindseil,200 Y Free,Finals,–,01:56.8,R,610,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
23,Ashley Horodyski,100 Y IM,Finals,13th,01:01.4,,610,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
24,Shea Hoyt,100 Y IM,Finals,14th,01:01.5,,607,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
25,Natalie McGovern,100 Y IM,Finals,15th,01:01.6,,606,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
26,Abbegayle Schneider,100 Y IM,Finals,16th,01:01.6,,605,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
27,Kelly McNamara,100 Y IM,Finals,17th,01:01.6,,604,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
28,Johanna Jekel,100 Y IM,Finals,20th,01:01.9,,595,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
29,Jennifer Weigand,100 Y IM,Finals,22nd,01:02.1,,592,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
30,Taylor Flummerfelt,100 Y IM,Finals,23rd,01:02.1,,590,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
31,Olivia Cook,100 Y IM,Finals,24th,01:02.2,,589,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
32,Summer Campbell,100 Y IM,Finals,26th,01:02.5,,580,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
33,Isabelle Bindseil,100 Y IM,Finals,28th,01:03.0,,565,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
34,Serena Wanasek,100 Y IM,Finals,30th,01:03.5,,553,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
35,Lauren Leehy,100 Y IM,Finals,33rd,01:08.2,,447,Iowa vs. Michigan State,15-Oct-15,SCY,W,2015-2016
1,Iowa (A),200 Y Free Relay,Timed Finals,1st,01:21.7,,746,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
2,Iowa (A),800 Y Free Relay,Finals,1st,06:48.3,,743,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
3,Joseph Halsmer,50 Y Free,Timed Finals,–,20.68,R,712,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
4,Iowa (B),200 Y Free Relay,Timed Finals,2nd,01:23.0,,711,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
5,Jack Allen,100 Y IM,Finals,1st,51.55,,710,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
6,Matt Kamin,200 Y Free,Finals,–,01:42.4,R,706,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
7,Iowa (C),800 Y Free Relay,Finals,3rd,06:57.5,,695,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
8,Jack Smith,50 Y Free,Timed Finals,–,20.88,R,692,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
9,Matthew Boyd,100 Y IM,Finals,2nd,52.53,,671,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
10,Roman Trussov,100 Y IM,Finals,3rd,52.56,,670,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
11,Tyler Nichols,100 Y IM,Finals,5th,52.64,,667,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
12,Iowa (C),200 Y Free Relay,Timed Finals,4th,01:24.9,,663,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
13,Maverick Hovey,200 Y Free,Finals,–,01:45.9,R,638,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
14,Robert Hemmingsen,100 Y IM,Finals,7th,53.52,,635,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
15,Quinn Risley,100 Y IM,Finals,8th,53.59,,632,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
16,Kristopher Hoce,100 Y IM,Finals,10th,53.66,,630,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
17,Christopher Dawson,100 Y IM,Finals,9th,53.64,,630,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
18,Maverick Hovey,100 Y IM,Finals,13th,54.08,,615,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
19,Colter Allen,100 Y IM,Finals,14th,54.12,,614,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
20,Sam Sauerbrei,100 Y IM,Finals,15th,54.2,,611,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
21,Joseph Halsmer,100 Y IM,Finals,16th,54.26,,609,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
22,David Ernstsson,100 Y IM,Finals,17th,54.51,,601,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
23,Kyle Gannon,50 Y Free,Timed Finals,–,21.95,R,596,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
24,Matt Kamin,100 Y IM,Finals,19th,54.75,,593,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
25,Andrew Parker,100 Y IM,Finals,21st,54.88,,589,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
26,Michael Nelson,100 Y IM,Finals,23rd,55.2,,578,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
27,Tanner Nelson,100 Y IM,Finals,25th,55.6,,566,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
28,Iowa (D),200 Y Free Relay,Timed Finals,7th,01:29.6,,565,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
29,Christopher Dawson,50 Y Free,Timed Finals,–,22.37,R,563,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
30,Kyle Gannon,100 Y IM,Finals,26th,55.69,,563,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
31,Jack Smith,100 Y IM,Finals,27th,55.8,,560,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
32,Luke Snow,100 Y IM,Finals,29th,56.14,,550,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
33,Brandon Farnum,100 Y IM,Finals,33rd,56.61,,536,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
34,Logan Samuelson,100 Y IM,Finals,35th,56.74,,533,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
35,Thomas Rathbun,100 Y IM,Finals,36th,56.91,,528,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
36,Charles Holliday,100 Y IM,Finals,38th,57.05,,524,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
37,Andrew Eisen,100 Y IM,Finals,39th,57.47,,512,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
38,Ben Colin,100 Y IM,Finals,40th,58.9,,476,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
39,Andrew Hull,1M Diving,Timed Finals,4th,281.03,,–,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
40,Brandis Heffner,1M Diving,Timed Finals,2nd,301.73,,–,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
41,Will Brenner,1M Diving,Timed Finals,1st,306.15,,–,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
42,Addison Boschult,1M Diving,Timed Finals,3rd,293.48,,–,Iowa vs. Michigan State,15-Oct-15,SCY,M,2015-2016
1,Iowa (A),400 Y Free Relay,Timed Finals,1st,03:01.3,,768,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
2,Jack Allen,50 Y Free,Timed Finals,1st,20.32,,751,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
3,Iowa (A),200 Y Medley Relay,Timed Finals,1st,01:30.8,,745,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
4,Iowa (B),400 Y Free Relay,Timed Finals,–,03:03.9,,736,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
5,Jack Allen,100 Y Fly,Timed Finals,1st,49.02,,732,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
6,Christopher Dawson,1000 Y Free,Timed Finals,2nd,09:36.8,,718,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
7,Logan Samuelson,1000 Y Free,Timed Finals,3rd,09:38.8,,711,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
8,Jerzy Twarowski,200 Y Fly,Timed Finals,1st,01:51.3,,711,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
9,Christopher Dawson,500 Y Free,Timed Finals,1st,04:38.7,,709,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
10,Jerzy Twarowski,100 Y Fly,Timed Finals,–,49.6,,707,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
11,Kyle Gannon,200 Y Free,Timed Finals,2nd,01:42.4,,706,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
12,Ben Colin,500 Y Free,Timed Finals,2nd,04:39.2,,706,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
13,Joseph Halsmer,50 Y Free,Timed Finals,2nd,20.74,,706,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
14,Roman Trussov,100 Y Breast,Timed Finals,1st,56.3,,702,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
15,David Ernstsson,200 Y Free,Timed Finals,3rd,01:42.7,,700,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
16,Matt Kamin,100 Y Free,Timed Finals,–,45.93,R,699,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
17,Iowa (B),200 Y Medley Relay,Timed Finals,3rd,01:32.8,,697,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
18,Ben Colin,1000 Y Free,Timed Finals,5th,09:42.4,,697,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
19,Matt Kamin,200 Y Free,Timed Finals,4th,01:42.9,,696,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
20,Andrew Eisen,1000 Y Free,Timed Finals,6th,09:45.3,,687,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
21,Logan Samuelson,500 Y Free,Timed Finals,4th,04:41.8,,686,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
22,Joseph Halsmer,100 Y Free,Timed Finals,2nd,46.24,,685,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
23,Iowa (C),400 Y Free Relay,Timed Finals,–,03:08.8,,681,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
24,David Ernstsson,100 Y Free,Timed Finals,3rd,46.32,,681,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
25,Iowa (C),200 Y Medley Relay,Timed Finals,4th,01:33.6,,680,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
26,Matt Kamin,100 Y Free,Timed Finals,4th,46.38,,679,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
27,Sam Sauerbrei,200 Y Fly,Timed Finals,2nd,01:53.2,,674,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
28,Charles Holliday,50 Y Free,Timed Finals,3rd,21.14,,667,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
29,Roman Trussov,200 Y IM,Timed Finals,1st,01:54.6,,666,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
30,Brandon Farnum,50 Y Free,Timed Finals,4th,21.19,,662,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
31,Kyle Gannon,500 Y Free,Timed Finals,6th,04:45.4,,661,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
32,Andrew Parker,200 Y Back,Timed Finals,1st,01:51.3,,659,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
33,Charles Holliday,100 Y Free,Timed Finals,–,47.03,R,651,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
34,Charles Holliday,100 Y Free,Timed Finals,–,47.03,,651,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
35,Iowa (D),200 Y Medley Relay,Timed Finals,5th,01:35.0,,649,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
36,Maverick Hovey,100 Y Fly,Timed Finals,–,51.04,,649,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
37,Sam Sauerbrei,200 Y IM,Timed Finals,–,01:55.7,,648,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
38,Iowa (D),400 Y Free Relay,Timed Finals,–,03:12.3,,643,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
39,Andrew Parker,100 Y Back,Timed Finals,2nd,51.07,,643,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
40,Luke Snow,100 Y Free,Timed Finals,–,47.43,,635,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
41,Colter Allen,200 Y IM,Timed Finals,–,01:56.7,,631,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
42,Luke Snow,100 Y Free,Timed Finals,–,47.55,R,630,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
43,Robert Hemmingsen,100 Y Fly,Timed Finals,–,51.54,,630,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
44,Kristopher Hoce,200 Y IM,Timed Finals,–,01:56.7,,630,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
45,Michael Nelson,100 Y Breast,Timed Finals,3rd,58.66,,621,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
46,Matthew Boyd,100 Y Back,Timed Finals,3rd,51.65,,621,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
47,Tyler Nichols,100 Y Breast,Timed Finals,4th,59.26,,602,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
48,Matthew Boyd,200 Y Back,Timed Finals,3rd,01:54.9,,598,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
49,Thomas Rathbun,200 Y Back,Timed Finals,4th,01:55.2,,594,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
50,Quinn Risley,100 Y Breast,Timed Finals,5th,59.64,,591,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
51,Colter Allen,200 Y Fly,Timed Finals,7th,01:58.5,,589,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
52,Robert Hemmingsen,100 Y Back,Timed Finals,4th,52.59,,588,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
53,Kristopher Hoce,200 Y Fly,Timed Finals,8th,01:58.9,,583,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
54,Thomas Rathbun,100 Y Back,Timed Finals,5th,52.88,,579,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
55,Kyle Patnode,200 Y Back,Timed Finals,5th,01:56.5,,574,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
56,Michael Nelson,200 Y Breast,Timed Finals,2nd,02:10.9,,572,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
57,Andrew Parker,50 Y Back,Timed Finals,–,23.88,R,570,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
58,Tyler Nichols,200 Y Breast,Timed Finals,3rd,02:11.1,,569,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
59,David Ernstsson,50 Y Back,Timed Finals,–,23.91,R,568,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
60,Tanner Nelson,200 Y Breast,Timed Finals,4th,02:11.5,,565,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
61,Robert Hemmingsen,50 Y Back,Timed Finals,–,24.26,R,544,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
62,Quinn Risley,200 Y Breast,Timed Finals,7th,02:15.3,,518,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
63,Brandis Heffner,3M Diving,Timed Finals,2nd,317.6,,–,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
64,Addison Boschult,3M Diving,Timed Finals,3rd,314.7,,–,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,M,2015-2016
1,Iowa (A),400 Y Free Relay,Timed Finals,1st,03:27.7,,758,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
2,Emma Sougstad,50 Y Free,Timed Finals,1st,23.34,,757,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
3,Iowa (A),200 Y Medley Relay,Timed Finals,1st,01:43.4,,756,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
4,Olivia Kabacinski,100 Y Free,Timed Finals,1st,50.98,,749,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
5,Olivia Kabacinski,100 Y Free,Timed Finals,–,51.45,R,728,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
6,Tereysa Lehnertz,200 Y Fly,Timed Finals,1st,02:03.1,,711,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
7,Abbegayle Schneider,1000 Y Free,Timed Finals,1st,10:17.5,,710,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
8,Tereysa Lehnertz,100 Y Fly,Timed Finals,–,56.25,,703,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
9,Kelly McNamara,100 Y Fly,Timed Finals,1st,56.24,,703,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
10,Iowa (B),400 Y Free Relay,Timed Finals,–,03:33.3,,700,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
11,Olivia Kabacinski,200 Y Free,Timed Finals,1st,01:51.7,,699,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
12,Taylor Flummerfelt,50 Y Free,Timed Finals,4th,24.05,,692,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
13,Abbegayle Schneider,500 Y Free,Timed Finals,1st,05:01.7,,690,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
14,Rowan Hauber,100 Y Back,Timed Finals,2nd,56.59,,689,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
15,Iowa (D),200 Y Medley Relay,Timed Finals,3rd,01:46.8,,688,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
16,Emma Sougstad,200 Y IM,Timed Finals,1st,02:06.7,,687,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
17,Allison Orvis,50 Y Back,Timed Finals,–,26.43,R,684,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
18,Taylor Flummerfelt,100 Y Free,Timed Finals,3rd,52.53,,684,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
19,Iowa (C),200 Y Medley Relay,Timed Finals,4th,01:47.3,,677,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
20,Kelly McNamara,100 Y Free,Timed Finals,–,52.79,R,674,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
21,Nikol Lagodzinska,200 Y Free,Timed Finals,2nd,01:53.6,,663,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
22,Shea Hoyt,200 Y Breast,Timed Finals,2nd,02:22.3,,663,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
23,Rowan Hauber,50 Y Back,Timed Finals,–,26.75,R,660,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
24,Tereysa Lehnertz,100 Y Free,Timed Finals,–,53.19,R,659,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
25,Meghan Lavelle,100 Y Back,Timed Finals,3rd,57.44,,658,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
26,Iowa (C),400 Y Free Relay,Timed Finals,–,03:37.9,,656,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
27,Meghan Lavelle,200 Y Back,Timed Finals,1st,02:04.1,,656,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
28,Mekenna Scheitlin,50 Y Free,Timed Finals,7th,24.49,,655,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
29,Shea Hoyt,100 Y Breast,Timed Finals,1st,01:06.0,,653,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
30,Iowa (D),400 Y Free Relay,Timed Finals,–,03:38.5,,651,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
31,Rowan Hauber,200 Y Back,Timed Finals,2nd,02:04.5,,651,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
32,Carly O'Brien,50 Y Free,Timed Finals,9th,24.54,,651,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
33,Meghan Lavelle,50 Y Back,Timed Finals,–,26.89,R,650,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
34,Serena Wanasek,200 Y Free,Timed Finals,5th,01:54.6,,646,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
35,Devin Jacobs,200 Y Breast,Timed Finals,3rd,02:23.5,,646,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
36,Katie Wells,100 Y Breast,Timed Finals,2nd,01:06.2,,646,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
37,Devin Jacobs,200 Y IM,Timed Finals,–,02:09.5,,642,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
38,Lauren Leehy,100 Y Free,Timed Finals,8th,53.66,,642,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
39,Jennifer Weigand,200 Y Free,Timed Finals,6th,01:55.2,,637,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
40,Serena Wanasek,500 Y Free,Timed Finals,–,05:10.6,,632,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
41,Rowan Hauber,100 Y Free,Timed Finals,–,53.98,R,631,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
42,Mekenna Scheitlin,200 Y IM,Timed Finals,–,02:10.6,,628,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
43,Devin Jacobs,100 Y Breast,Timed Finals,7th,01:06.9,,625,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
44,Colleen Champa,200 Y Breast,Timed Finals,5th,02:25.1,,624,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
45,Allison Orvis,100 Y Back,Timed Finals,5th,58.63,,619,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
46,Colleen Champa,100 Y Breast,Timed Finals,8th,01:07.2,,619,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
47,Isabelle Bindseil,1000 Y Free,Timed Finals,4th,10:47.4,,616,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
48,Ashley Horodyski,100 Y Fly,Timed Finals,–,58.88,,613,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
49,Allison Orvis,200 Y IM,Timed Finals,–,02:11.7,,612,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
50,Katie Wells,100 Y Free,Timed Finals,9th,54.55,,611,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
51,Natalie McGovern,100 Y Back,Timed Finals,6th,58.96,,609,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
52,Nikol Lagodzinska,500 Y Free,Timed Finals,–,05:15.9,,601,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
53,Katie Wells,200 Y IM,Timed Finals,–,02:12.5,,600,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
54,Natalie McGovern,200 Y Back,Timed Finals,6th,02:08.3,,594,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
55,Carly O'Brien,100 Y Fly,Timed Finals,–,59.51,,593,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
56,Summer Campbell,100 Y Fly,Timed Finals,–,59.59,,591,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
57,Isabelle Bindseil,500 Y Free,Timed Finals,–,05:18.0,,589,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
58,Johanna Jekel,100 Y Back,Timed Finals,–,59.72,,586,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
59,Johanna Jekel,100 Y Free,Timed Finals,–,55.46,,581,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
60,Olivia Cook,200 Y Fly,Timed Finals,7th,02:12.4,,572,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
61,Kelly McNamara,200 Y Fly,Timed Finals,9th,02:12.5,,570,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
62,Allison Orvis,200 Y Back,Timed Finals,10th,02:10.6,,563,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
63,Olivia Cook,100 Y Fly,Timed Finals,–,01:01.0,,550,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
64,Ashley Horodyski,200 Y Back,Timed Finals,–,02:12.2,,543,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
65,Summer Campbell,200 Y Fly,Timed Finals,11th,02:18.3,,502,"Iowa vs. Michigan State, Northern Iowa",16-Oct-15,SCY,W,2015-2016
